NP_006832,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_060701,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_277053,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_510968,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_542119,vesicular inhibitory amino acid (GABA/glycine),,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_060488,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_001033073,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_612637,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_061849,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_109599,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_001070952,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_689526,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_722518,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_775783,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_775785,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_001073911,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_060198,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_861439,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_861441,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18
NP_000333,anion exchange,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_003750,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_071341,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_114423,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_067019,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_597812,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_003606,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_003031,anion exchange,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_113655,anion exchange,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_001035049,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_004849,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_001091954,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_963868,chloride/bicarbonate anion exchange,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_005061,chloride/bicarbonate anion exchange,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31
NP_003036,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
NP_003037,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
NP_001008539,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
NP_004164,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
NP_036376,large neutral amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
NP_877392,large neutral amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
NP_055085,amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
NP_055146,cystine/glutamate,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
NP_062823,amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
NP_066000,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
NP_003477,large neutral amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
NP_620172,amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
NP_003973,amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3
